Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
638cd479e75b529cf405e387,5efe29d315ba872fa20a9c3d,APPROVED,2022-12-04T17:10:17.195000Z,2022-12-04T17:18:59.437000Z,2022-12-04T17:57:22.665000,2022-12-04T17:18:59.908576Z,523,NOCODE,861,English,26,Male,White,United States,United States,United States,English,Yes,Full-Time
638cd47a42e6cf93f8fd3acf,5e82fb37e833ed000a41a42c,APPROVED,2022-12-04T17:10:20.967000Z,2022-12-04T17:24:58.411000Z,2022-12-04T17:57:17.649000,2022-12-04T17:25:03.704253Z,878,C1GK0VPE,523,English,33,Female,White,United Kingdom,Greece,United Kingdom,English,No,Full-Time
638cd47f852d80d4dd442eb0,605761ac7af0627ccf640a13,APPROVED,2022-12-04T17:10:28.712000Z,2022-12-04T17:18:44.113000Z,2022-12-04T17:57:17.742000,2022-12-04T17:18:44.480992Z,496,NOCODE,198,English,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Due to start a new job within the next month
638cd481232c41af9a26dfd1,602d2e6c4634b26defea2b29,APPROVED,2022-12-04T17:10:25.318000Z,2022-12-04T17:21:54.054000Z,2022-12-04T17:57:22.759000,2022-12-04T17:21:54.841941Z,689,NOCODE,48,"English, Polish",21,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
638cd4832fdf1eda59f8c1c0,5ef80b7e38b9f0556fd6a5e6,APPROVED,2022-12-04T17:10:27.585000Z,2022-12-04T17:21:25.283000Z,2022-12-04T17:57:22.853000,2022-12-04T17:21:25.706722Z,658,C1GK0VPE,55,"English, Spanish",22,Male,White,Chile,Chile,Chile,Spanish,DATA_EXPIRED,DATA_EXPIRED
638cd4970a6a73cc8b624100,61167a7aa9ecb91f93c398a4,APPROVED,2022-12-04T17:10:49.820000Z,2022-12-04T17:22:21.787000Z,2022-12-04T17:57:22.945000,2022-12-04T17:22:22.304918Z,692,NOCODE,108,English,23,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
638cd4b42a95ad8c319875ab,5d83c14271fb5d0019cf8a75,APPROVED,2022-12-04T17:11:16.236000Z,2022-12-04T17:18:03.648000Z,2022-12-04T17:57:17.831000,2022-12-04T17:18:04.101102Z,408,NOCODE,229,"Spanish, English, French, Tagalog-Filipino",22,Female,Asian,Spain,Spain,Spain,Spanish,No,Due to start a new job within the next month
638cd4d8804eafb8cf88a192,60fced8dc349819a0afe6051,APPROVED,2022-12-04T17:12:00.431000Z,2022-12-04T17:20:09.671000Z,2022-12-04T17:57:17.926000,2022-12-04T17:20:10.025017Z,490,NOCODE,79,"French, German, English, Portuguese, Spanish",28,Female,White,Luxembourg,Spain,Portugal,Portuguese,No,Full-Time
638cd559baff10e2f460fbae,5e8f31ca66838a1ff52975b5,APPROVED,2022-12-04T17:14:01.728000Z,2022-12-04T17:20:50.877000Z,2022-12-04T17:57:23.035000,2022-12-04T17:20:51.264874Z,410,NOCODE,306,"Spanish, English, French",26,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
638cd5982b67d5217298759b,601dce7bf47e0a1c616c05cc,APPROVED,2022-12-04T17:15:08.510000Z,2022-12-04T17:24:42.836000Z,2022-12-04T17:57:18.016000,2022-12-04T17:24:47.431344Z,575,NOCODE,156,"Portuguese, English",23,Female,Mixed,Portugal,Portugal,Portugal,Portuguese,Yes,Other
638cdf8d2b366c167f4a96be,5fba3eecc9e8fc5f97892ea3,APPROVED,2022-12-04T17:57:42.499000Z,2022-12-04T18:04:40.186000Z,2022-12-04T19:28:59.086000,2022-12-04T18:04:40.634321Z,418,C1GK0VPE,126,"English, Polish, Korean",23,Female,White,Poland,Poland,Poland,Polish,Yes,DATA_EXPIRED
638cdf9279a388117d07b753,6107041b490ec7489fd4e3de,APPROVED,2022-12-04T17:57:54.763000Z,2022-12-04T18:10:50.644000Z,2022-12-04T19:28:59.177000,2022-12-04T18:10:52.174265Z,776,C1GK0VPE,28,"English, Latvian",22,Female,White,Latvia,Latvia,Latvia,Latvian,No,Full-Time
638cdfa479a388117d07b756,5d21f63e4c6155001b9199e1,APPROVED,2022-12-04T17:57:56.257000Z,2022-12-04T18:06:35.580000Z,2022-12-04T19:28:59.268000,2022-12-04T18:06:36.005279Z,520,C1GK0VPE,313,"English, French, Spanish, Portuguese",21,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
638cdfa635c92d001143d5ef,60d0c9c5ee2b2dc08edb7f01,APPROVED,2022-12-04T17:57:58.057000Z,2022-12-04T18:08:04.892000Z,2022-12-04T19:29:04.634000,2022-12-04T18:08:05.347034Z,607,C1GK0VPE,177,"Greek, English",21,Male,Other,Greece,Greece,Greece,Greek,Yes,Other
638cdfb2ae2e61340b442f24,61673b692a55fba0f6b8abf1,APPROVED,2022-12-04T17:58:10.893000Z,2022-12-04T18:04:15.046000Z,2022-12-04T19:28:59.359000,2022-12-04T18:04:15.439043Z,365,C1GK0VPE,571,"Bulgarian, English",30,Female,White,Bulgaria,United Kingdom,Bulgaria,Bulgarian,No,Full-Time
638cdfba1276101fe42b3a16,5f66556266875b21fdfc1f6c,APPROVED,2022-12-04T17:58:20.101000Z,2022-12-04T18:19:13.906000Z,2022-12-04T19:29:04.750000,2022-12-04T18:19:14.298032Z,1254,C1GK0VPE,115,"Catalan, English, Spanish",21,Male,White,Spain,Spain,Spain,Catalan,Yes,DATA_EXPIRED
638cdfc7bbe7f9c1d198fab4,616d5311539a9f50a9d91359,APPROVED,2022-12-04T17:58:31.277000Z,2022-12-04T18:16:01.570000Z,2022-12-04T19:29:04.865000,2022-12-04T18:16:01.953762Z,1051,C1GK0VPE,211,"Afrikaans, English",41,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
638ce0f8155dacdb35739139,60d4fbe3187fe07b082fdb6d,APPROVED,2022-12-04T18:03:36.207000Z,2022-12-04T18:14:24.656000Z,2022-12-04T19:29:04.984000,2022-12-04T18:14:25.044382Z,649,C1GK0VPE,78,"Polish, English",21,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
638ceab38f54d705e85f2a29,6107acc592df914a921e2b41,APPROVED,2022-12-04T18:45:39.288000Z,2022-12-04T18:57:04.119000Z,2022-12-04T19:29:05.106000,2022-12-04T18:57:04.584931Z,685,C1GK0VPE,458,English,48,Male,White,Ireland,Ireland,Ireland,English,Yes,Full-Time
638ceab642d214469fbf2f80,5e830913ff38e3016d1a69f2,AWAITING REVIEW,2022-12-04T18:45:59.802000Z,2022-12-04T19:03:29.615000Z,,2022-12-04T19:03:30.633066Z,1050,NOCODE,492,"Italian, English",49,Female,White,Italy,Italy,Italy,Italian,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638cf505610a78c0d37c0e17,5ed2c4fe85676325a891de20,APPROVED,2022-12-04T19:29:09.073000Z,2022-12-04T19:37:27.363000Z,2022-12-04T19:46:28.854000,2022-12-04T19:37:27.750098Z,499,C1GK0VPE,693,"English, German",23,Male,White,United States,Poland,United States,English,Yes,Part-Time
638cf511a802c6d63498fa4a,615cb4b91852363cbe0589ba,APPROVED,2022-12-04T19:29:25.272000Z,2022-12-04T19:38:34.823000Z,2022-12-04T19:46:35.287000,2022-12-04T19:38:35.286939Z,550,C1GK0VPE,88,"Estonian, English",27,Female,White,Estonia,Estonia,Estonia,Estonian,No,Full-Time
638cf51931b9673afc62412e,60b2f2171cddbd5fdace9ce7,APPROVED,2022-12-04T19:29:32.609000Z,2022-12-04T19:39:54.237000Z,2022-12-04T19:46:35.377000,2022-12-04T19:39:54.840470Z,622,C1GK0VPE,92,"English, Spanish",33,Female,DATA_EXPIRED,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
638cf522c4fd78156f05e38b,60e96b12a9bf38cf4eb19c56,APPROVED,2022-12-04T19:29:38.296000Z,2022-12-04T19:39:22.691000Z,2022-12-04T19:46:35.467000,2022-12-04T19:39:23.028223Z,585,C1GK0VPE,113,"English, Polish",20,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
638cf529ebb6d81b4657ed9a,6016c8e7ea3f2387ae8b47d5,APPROVED,2022-12-04T19:29:45Z,2022-12-04T19:44:31.764000Z,2022-12-04T19:46:35.558000,2022-12-04T19:44:32.169333Z,887,C1GK0VPE,109,"English, Greek",26,Female,White,Greece,Greece,Greece,Greek,Yes,DATA_EXPIRED
638cf52e3da4c0cbee6f0fd0,6030119a4403b3e1f92a756a,APPROVED,2022-12-04T19:29:50.208000Z,2022-12-04T19:43:46.196000Z,2022-12-04T19:46:35.651000,2022-12-04T19:43:46.593112Z,836,C1GK0VPE,78,"English, Polish",22,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
638cf5312fef3ce9f7ef5221,61169988cf61a1a4c41fdf9c,APPROVED,2022-12-04T19:29:53.549000Z,2022-12-04T19:37:26.559000Z,2022-12-04T19:46:28.976000,2022-12-04T19:37:26.959721Z,454,C1GK0VPE,704,"English, French, Spanish",34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638cf5319b3335672d624163,611d6a2a304fcaf90fa10ae7,APPROVED,2022-12-04T19:30:05.156000Z,2022-12-04T19:47:24.420000Z,2022-12-04T20:03:56.191000,2022-12-04T19:47:24.783759Z,1040,C1GK0VPE,57,English,28,Male,Black,South Africa,South Africa,South Africa,English,No,Part-Time
638cf551441a67cf119875c2,5f93f45a07c31b1cd9ab9fab,APPROVED,2022-12-04T19:30:28.183000Z,2022-12-04T19:37:50.426000Z,2022-12-04T19:46:29.097000,2022-12-04T19:37:50.790182Z,443,C1GK0VPE,58,"English, Greek",27,Male,White,Greece,Greece,Greece,Greek,No,Full-Time
638cf5661cd704834f9a6283,60e0d63b8db811653a0d40b2,APPROVED,2022-12-04T19:30:46.966000Z,2022-12-04T19:48:50.211000Z,2022-12-04T20:04:01.221000,2022-12-04T19:48:51.451486Z,1084,C1GK0VPE,59,English,36,Female,Black,United States,United States,United States,English,No,Full-Time
