Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
637d10b7e7ae421c298365d8,5edd501b9aa0590d21943681,APPROVED,2022-11-22T18:11:03.101000Z,2022-11-22T18:24:37.983000Z,2022-11-22T18:25:29.848000,2022-11-22T18:24:38.390880Z,815,C2TJMYKC,87,"English, Greek",22,Female,White,Greece,Greece,Greece,Greek,Yes,Due to start a new job within the next month
637d10bd387d4272650713ef,5b45113dcd6a5500018c5dd0,APPROVED,2022-11-22T18:11:09.365000Z,2022-11-22T18:20:03.138000Z,2022-11-22T18:25:29.960000,2022-11-22T18:20:03.511335Z,534,C2TJMYKC,639,"English, Finnish",30,Male,White,Finland,Finland,Finland,Finnish,Yes,DATA_EXPIRED
637d10c30ab5d8cb12b25bf5,5eb33041025b5d1264d47e00,APPROVED,2022-11-22T18:11:15.013000Z,2022-11-22T18:17:38.521000Z,2022-11-22T18:25:30.067000,2022-11-22T18:17:40.099975Z,384,C2TJMYKC,263,"English, Portuguese",22,Male,Mixed,Brazil,Portugal,Brazil,Portuguese,Yes,Part-Time
637d10c43cf10989f5fd1297,5ac388a8a3ba7a0001b48eb4,APPROVED,2022-11-22T18:11:21.065000Z,2022-11-22T18:23:57.901000Z,2022-11-22T18:25:30.167000,2022-11-22T18:23:58.795375Z,757,C2TJMYKC,360,English,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
637d10c50243269567d0b8d0,61695973dbfdf88f736ad5d1,APPROVED,2022-11-22T18:11:24.410000Z,2022-11-22T18:19:34.626000Z,2022-11-22T18:25:30.268000,2022-11-22T18:19:35.012012Z,491,C2TJMYKC,40,"English, Portuguese, Spanish",19,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
637d10c8b7d854ac83f930a4,602db115eff74b88250fe3bb,APPROVED,2022-11-22T18:11:20.314000Z,2022-11-22T18:18:43.917000Z,2022-11-22T18:25:30.367000,2022-11-22T18:18:44.344353Z,444,C2TJMYKC,138,"Portuguese, English",22,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
637d10c904313c2bf809f31b,5c19476c5a4fdb00014a2948,APPROVED,2022-11-22T18:11:21.516000Z,2022-11-22T18:24:00.812000Z,2022-11-22T18:25:30.468000,2022-11-22T18:24:01.513319Z,760,C2TJMYKC,446,"Greek, English, French",34,Male,White,Greece,Greece,Greece,Greek,DATA_EXPIRED,Full-Time
637d10c92895eed2618afc31,5f9c4427c27fed0b5c680c4b,APPROVED,2022-11-22T18:11:23.381000Z,2022-11-22T18:19:25.065000Z,2022-11-22T18:25:30.569000,2022-11-22T18:19:25.699162Z,482,C2TJMYKC,24,"English, Portuguese",22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
637d10c933b93ae4ad09f321,5e8c4ea661681f037a0bf727,APPROVED,2022-11-22T18:11:23.655000Z,2022-11-22T18:18:31.613000Z,2022-11-22T18:25:30.672000,2022-11-22T18:18:32.433099Z,428,C2TJMYKC,38,"English, Chinese",23,Male,Asian,China,United Kingdom,United Kingdom,Chinese,No,DATA_EXPIRED
637d10ca3a44adb8711b3755,5964a95d1e40d0000196646c,APPROVED,2022-11-22T18:11:28.328000Z,2022-11-22T18:18:51.925000Z,2022-11-22T18:25:30.770000,2022-11-22T18:18:52.311212Z,444,C2TJMYKC,103,"Spanish, Portuguese, English",24,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Other
