Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6384f0c353b4454b1596c2d4,5f8475cb2ccf410cd477c1ec,APPROVED,2022-11-28T17:32:51.588000Z,2022-11-28T17:45:45.363000Z,2022-12-02T21:46:10.156000,2022-11-28T17:45:46.251534Z,774,C2TJMYKC,190,"Hebrew, English",40,Female,Mixed,Israel,Israel,Israel,Hebrew,No,Part-Time
6384f0f99b32c19bb000f28e,60784313b07c7303c87b1a22,APPROVED,2022-11-28T17:33:45.034000Z,2022-11-28T17:47:44.501000Z,2022-12-02T21:46:15.195000,2022-11-28T17:47:44.960739Z,840,C2TJMYKC,171,"Chinese, English, Greek",30,Male,White,Greece,Greece,Greece,Greek,DATA_EXPIRED,DATA_EXPIRED
6384f0fa8865e68eb3ad054a,617287bc1a42a5bc56381cec,APPROVED,2022-11-28T17:33:54.116000Z,2022-11-28T17:44:23.061000Z,2022-12-02T21:46:10.267000,2022-11-28T17:44:23.597273Z,629,C2TJMYKC,135,English,19,Female,White,United States,France,Ireland,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6384f0fc3604d6ccf918bd86,5fdbd87651f3a90d40e390cd,APPROVED,2022-11-28T17:33:48.738000Z,2022-11-28T17:45:25.243000Z,2022-12-02T21:46:15.324000,2022-11-28T17:45:25.667344Z,697,C2TJMYKC,68,"English, Polish",28,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
6384f0fda7f7fab616f855bc,5f2af6dc1a903c46dd0e53bd,APPROVED,2022-11-28T17:33:49.710000Z,2022-11-28T17:48:19.805000Z,2022-12-02T21:46:15.444000,2022-11-28T17:48:20.219604Z,871,C2TJMYKC,341,"English, Portuguese",22,Male,White,United Kingdom,Portugal,Portugal,Portuguese,No,Full-Time
6384f0fdf3ec52da3759d767,5fce9acc07439c12326b4403,APPROVED,2022-11-28T17:33:49.256000Z,2022-11-28T17:43:35.652000Z,2022-12-02T21:46:15.579000,2022-11-28T17:43:36.104894Z,587,C2TJMYKC,179,"English, Polish",21,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
6384f101bafa891e831545b8,5c26c70f10677f0001db930e,APPROVED,2022-11-28T17:34:00.434000Z,2022-11-28T17:47:59.008000Z,2022-12-02T21:46:10.381000,2022-11-28T17:48:00.118123Z,839,C2TJMYKC,197,"English, Greek",57,Female,White,United States,Greece,Greece,English,DATA_EXPIRED,DATA_EXPIRED
6384f105ad5f8b18449181d8,60fc8ccd33d63f50ea0dfabf,APPROVED,2022-11-28T17:36:00.057000Z,2022-11-28T17:46:51.671000Z,2022-12-02T21:46:10.490000,2022-11-28T17:46:52.025357Z,652,C2TJMYKC,43,English,22,Female,White,South Africa,South Africa,South Africa,English,Yes,Part-Time
6384f106e516ab24019a7132,615a0b5900f0441ba6598b30,APPROVED,2022-11-28T17:34:06.106000Z,2022-11-28T18:07:12.108000Z,2022-12-02T21:46:10.595000,2022-11-28T18:07:12.588034Z,1987,C2TJMYKC,135,"Afrikaans, English",25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
6384f108f4013b56a23b3c72,5c083cc76977110001fd6270,APPROVED,2022-11-28T17:34:09.626000Z,2022-11-28T17:41:24.761000Z,2022-12-02T21:46:15.698000,2022-11-28T17:41:25.144388Z,436,C2TJMYKC,184,"Polish, English",32,Male,White,Poland,Poland,Poland,Polish,Yes,Other
6384f10a326e8ae27738c5bc,60f5763eb0c6dde109026ff5,APPROVED,2022-11-28T17:34:02.611000Z,2022-11-28T17:48:21.508000Z,2022-12-02T21:46:10.701000,2022-11-28T17:48:21.975423Z,859,C2TJMYKC,135,English,19,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
6384f10c43326ee8ebeb5e2f,60bfcd68551ce00fe81be706,APPROVED,2022-11-28T17:34:07.724000Z,2022-11-28T17:42:12.832000Z,2022-12-02T21:46:15.825000,2022-11-28T17:42:13.257232Z,486,C2TJMYKC,70,"English, Greek",26,Male,White,Greece,Greece,Greece,Greek,Yes,Other
6384f10f5dec17874d1545d5,601e093a31a2902413e15c08,APPROVED,2022-11-28T17:34:07.955000Z,2022-11-28T17:41:30.438000Z,2022-12-02T21:46:15.956000,2022-11-28T17:41:30.910118Z,443,C2TJMYKC,118,"English, Portuguese",37,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
